文本,文本1
上海市杨浦区信访办公室关于2024年度逾期尚未支付中小企业款项的说明,"

            上海市杨浦区信访办公室关于2024年度逾期尚未支付中小企业款项的说明
根据《保障中小企业款项支付条例》（国令第802号）第十八条工作要求，应将上一年度逾期尚未支付中小企业款项工作情况予以公示。现将2024年度逾期尚未支付中小企业款项工作情况公示如下：
　　经自查，截至2024年12月31日，区信访办及下属事业单位区市民信访接待服务中心无逾期尚未支付中小企业款项情况。
　　特此说明。
上海市杨浦区信访办公室
2025年7月18日

        "
中共包头市信访局党组关于巡察整改进展情况的通报,"中共包头市信访局党组关于巡察整改进展情况的通报




　　按照市委统一部署，2024年10月10日至11月15日，市委第四巡察组对包头市信访局党组进行了常规巡察。2025年1月21日，市委第四巡察组向包头市信访局党组反馈了巡察意见。根据《中共包头市委巡察整改工作实施办法》（包党办发〔2022〕49号）规定，现将巡察整改进展情况予以公布。




　　一、局党组组织落实巡察整改情况




　　（一）强化组织领导，压紧压实整改责任。局党组坚决扛牢巡察整改政治责任，第一时间成立由党组书记任组长、党组成员任副组长、各科室及二级单位负责人为成员的巡察整改工作领导小组，确保整改工作见实见效。党组书记严格履行“第一责任人""职责，先后主持召开4次党组会议专题研究部署整改工作；班子成员严格落实“一岗双责""责任，主动牵头负责分管领域整改事项。建立“问题清单+责任清单+进度清单""三单管理机制，推动形成层层传导压力、级级落实责任的整改工作体系。




　　（二）系统谋划部署，精准施策靶向发力。坚持“当下改""与“长久立""相结合，按照深挖根源、举一反三、综合施策、标本兼治的要求，逐一对照反馈问题，经多次研究、修改、完善，制定了巡察整改方案，针对巡察反馈问题，逐一明确责任领导、责任单位、完成时限，切实做到任务到人、责任到岗、时限到点、要求到位。建立整改落实台账,实行销号管理，确保整改工作精准对标、有的放矢。




　　（三）深挖问题根源，筑牢整改思想根基。组织召开2024年度民主生活会暨巡察整改专题民主生活会，党组书记亲自审核把关班子对照检查材料，代表领导班子作对照检查，并带头作个人对照检查，其他领导班子成员逐一进行对照检查，严肃认真开展批评与自我批评。对照市委第四巡察组反馈意见，结合自身思想和职责分工，举一反三、全面检视，深入查摆存在问题，深刻剖析了问题产生的原因，明确了下一步整改措施，切实增强了自我净化、自我完善、自我革新、自我提高能力。




　　（四）主动认领责任，带头领办重点难点问题。聚焦廉政风险防控排查有疏漏、政治素质考察不深入、党组对上轮巡察发现问题整改盯得不紧等问题，局党组主动认领责任，在2025年2月13日召开的第5次局党组会上，从思想根源、作风建设、能力素质等方面进行了全面系统剖析反思，明确由主要领导牵头抓总靠前指挥、分管领导按职责分工带头推进落实，集中攻坚重点难点问题，确保整改到位。




　　（五）强化督导问效，推动整改清仓见底。建立月调度机制，召开巡察整改推进会3次，听取整改工作推进情况，跟进各科室、局属二级事业单位巡察整改进度，及时解决突出问题，确保整改取得实效。定期对问题整改落实工作“回头看""，对已整改到位的问题紧盯不放，防止问题反弹；对仍未整改到位的问题持续用力，实行清单式管理，确保整改一个、销号一个，做到真整改、真落实。




　　二、巡察反馈问题整改情况




　　（一）贯彻党中央关于信访工作的决策部署不彻底，推动信访工作高质量发展有差距




　　1.落实习近平总书记关于加强和改进人民信访工作的重要思想不到位




　　（1）领悟上级指示要求有落差。




　　进展情况：一是通过局党组会、理论学习中心组会及时传达学习习近平总书记最新重要讲话精神、深入贯彻中央八项规定精神学习教育相关会议精神、国家、自治区、市委重要会议精神等。截至目前，局党组会集体学习14次、中心组集体学习6次，专题研讨5次。加强对所属二级单位和各支部的学习指导力度，通过日调度会、下发《工作提示》《工作安排》等形式，就重点学习内容进行提醒安排，并督促落实。截至目前，下发《工作提示》3期，《工作安排》1期，各支部利用“三会一课""形式，集中学习41 次，研讨交流11次。二是已将《信访工作条例》纳入党校培训课程、中心组和支部学习计划，党校培训计划9月开班，局机关滚动开展《信访工作条例》多轮学习。三是按照《信访工作条例》规定要求，已完成信访年报编制工作。




　　（2）铸牢中华民族共同体意识工作不扎实。




　　进展情况：一是已将意识形态工作纳入《全市信访工作要点》，将铸牢中华民族共同体意识纳入意识形态工作责任制，与信访业务工作同部署、同落实、同检查、同考核。制定了意识形态工作责任制清单，明确了局党组书记、局党组成员意识形态工作具体责任。局党组会专题研究意识形态工作2次。二是按照市里统一部署，于2025年5月组织开展了民族政策宣传月活动，制定了活动方案，组织开展了专题调研并形成了调研报告。三是已在门户网站设立铸牢中华民族共同体意识专栏，利用微信公众号、门户网站、LED大屏等宣传媒介，广泛开展铸牢中华民族共同体意识宣传。同时，利用“三会一课""、网络平台、专题授课等常态开展铸牢中华民族共同体意识教育培训，目前已开展学习9次。




　　2.党的政治机关意识有待加强




　　（3）党内集中教育不走心。




　　进展情况：一是举一反三，针对党内集中教育不走心问题，已于4月10日组织召开由局党组成员、各科室负责人、各支部书记参加的专题会议进行教育提醒，要求吸取经验教训，深化思想认识，坚决杜绝此类问题再次发生。二是采用线上线下相结合的多元学习方式，如微党课、现场参观等，激发党员参与学习的积极性。组织开展“鹿城先锋大讲堂""2期，“北疆党课进行时""2期。组织干部职工参观“老包头走西口""历史文化展、廉洁文化主题公园等。三是领导干部充分发挥示范引领作用，带头学习研讨，做到先学一步、学深一层，同时进一步加强对党员干部学习情况的督促指导，对研讨交流材料严格审核把关。四是聚焦缺项“补课""，已在党组理论学习中心组学习会上补充学习党的二十大精神。




　　（4）执行重大事项请示报告要求有欠缺。




　　进展情况：一是2024年11月28日印发了《包头市信访局重大事项请示报告制度》，并严格执行制度要求。二是4月10日第10次局党组会专题学习了《中国共产党重大事项请示报告条例》，严格按照条例规定抓好落实。




　　3.推进信访工作法治化仍有短板




　　（5）信访工作规范化建设有短板。




　　进展情况：一是党组书记、分管班子成员已分别在2024年度民主生活会暨巡察整改专题民主生活会上认领责任，深刻反思剖析，并制定明确整改措施。二是将《信访工作条例》学习纳入党校培训，计划9月开班。每日早例会集中学习《信访工作条例》。组织干部职工参加自治区信访业务大讲堂培训五期。实地赴白云区帮扶指导2次、昆区、青山区、东河区各1次。三是成立了信访业务规范化评查工作小组，落实“日评查、周调度、月通报""工作机制。今年以来，依托信访信息系统规范化评查模块累计开展评查3939次，针对发现的“四应四不""突出问题，下发点对点专项通报8期。




　　（6）人民建议征集工作未落实。




　　进展情况：一是已将《包头市人民建议征集工作实施办法（试行）》正式提交市委社工部，目前社工部正在行文审核中，预计7月初正式印发。二是今年以来，收集受理信访群众提出的涉建议类事项8件，责任主体分别是市医保局（2件）、昆区（1件）、市交通运输局（1件）、市教育局（1件）、市民政局（1件）、市仲裁委（1件）、市城管局和市自然资源局（1件），责任单位均对信访人予以明确回复，能够及时解决的已经解决到位，同时将涉及规划的纳入具体规划安排，涉及优化流程的已进行程序优化。三是今年负责协办2件人大代表建议，已结合市信访局工作职能作出回复意见报告，并反馈主办单位。




　　4.深化改革不到位




　　（7）机构职责运行不合规。




　　进展情况：一是3月20日召开市联合接访中心班子会议，就巡察反馈意见指出的机构职责运行不合规问题进行了专题研究；二是3月24日制定了《包头市联合接访中心职能职责分工》，明确受理接访、网站服务、政务辅助三项工作由联合接访中心事业编人员专人负责。




　　（8）落实信访代办工作还有不足。




