文本,文本1
"河南省第十四届人民代表大会常务委员会公告
（第42号）","

            河南省第十四届人民代表大会常务委员会公告
（第42号）
　　《河南省人民代表大会常务委员会关于废止〈河南省计划免疫条例〉〈河南省信访条例〉的决定》已经河南省第十四届人民代表大会常务委员会第十二次会议于2024年11月28日审议通过，现予公布，自公布之日起施行。
　　附件：河南省人民代表大会常务委员会关于废止《河南省计划免疫条例》《河南省信访条例》的决定
河南省人民代表大会常务委员会
2024年11月29日
河南省人民代表大会常务委员会关于废止《河南省计划免疫条例》《河南省信访条例》的决定
（2024年11月28日河南省第十四届人民代表大会常务委员会第十二次会议通过）
　　河南省第十四届人民代表大会常务委员会第十二次会议决定：废止1995年4月17日河南省第八届人民代表大会常务委员会第十三次会议通过的《河南省计划免疫条例》和1997年1月16日河南省第八届人民代表大会常务委员会第二十四次会议通过的《河南省信访条例》。
　　本决定自公布之日起施行。


        "
"西藏自治区人民代表大会常务委员会公告
（〔2023〕6号）","

            西藏自治区人民代表大会常务委员会公告
（〔2023〕6号）
　　西藏自治区人民代表大会常务委员会关于废止《西藏自治区信访条例》的决定，已由西藏自治区第十一届人民代表大会常务委员会第四十三次会议于2022年12月9日通过，现予公布，自公布之日起施行。
　　特此公告。
西藏自治区人民代表大会常务委员会
　　2023年1月18日

西藏自治区人民代表大会常务委员会关于废止《西藏自治区信访条例》的决定
　　（2022年12月9日西藏自治区第十一届人民代表大会常务委员会第四十三次会议通过）

　　西藏自治区第十一届人民代表大会常务委员会第四十三次会议决定废止1995年4月15日西藏自治区第六届人民代表大会常务委员会第十三次会议通过、2007年11月22日西藏自治区第八届人民代表大会常务委员会第三十四次会议修正的《西藏自治区信访条例》。
　　本决定自公布之日起施行。
 

        "
"山东省人民代表大会常务委员会公告
（第240号）","

            山东省人民代表大会常务委员会公告
（第240号）
　　《山东省人民代表大会常务委员会关于废止〈山东省信访条例〉的决定》已由山东省第十三届人民代表大会常务委员会第三十九次会议于2022年12月21日通过，现予公布，自公布之日起施行。
山东省人民代表大会常务委员会
　　2022年12月21日

山东省人民代表大会常务委员会关于废止《山东省信访条例》的决定
（2022年12月21日山东省第十三届人民代表大会常务委员会第三十九次会议通过）

　　山东省第十三届人民代表大会常务委员会第三十九次会议决定，废止《山东省信访条例》（2015年9月24日山东省第十二届人民代表大会常务委员会第十六次会议通过）。
　　本决定自公布之日起施行。


        "
"天津市人民代表大会常务委员会公告
（第一二〇号）","

            天津市人民代表大会常务委员会公告
（第一二〇号）
　　《天津市人民代表大会常务委员会关于废止〈天津市信访工作若干规定〉的决定》已由天津市第十七届人民代表大会常务委员会第三十八次会议于2022年12月1日通过，现予公布，自公布之日起施行。
天津市人民代表大会常务委员会
　　2022年12月1日

天津市人民代表大会常务委员会关于废止《天津市信访工作若干规定》的决定
（2022年12月1日天津市第十七届人民代表大会常务委员会第三十八次会议通过）

　　天津市第十七届人民代表大会常务委员会第三十八次会议决定：废止《天津市信访工作若干规定》（2005年10月21日天津市第十四届人民代表大会常务委员会第二十三次会议通过）。
　　本决定自公布之日起施行。


        "
"深圳市第七届人民代表大会常务委员会公告
（第七十二号）","

            深圳市第七届人民代表大会常务委员会公告
（第七十二号）
　　《深圳市人民代表大会常务委员会关于废止〈深圳经济特区信访条例〉的决定》经深圳市第七届人民代表大会常务委员会第十二次会议于2022年10月28日通过，现予公布。
深圳市人民代表大会常务委员会
　　2022年10月31日

深圳市人民代表大会常务委员会关于废止《深圳经济特区信访条例》的决定
（2022年10月28日深圳市第七届人民代表大会常务委员会第十二次会议通过）

　　深圳市第七届人民代表大会常务委员会第十二次会议决定，废止《深圳经济特区信访条例》（2011年6月27日深圳市第五届人民代表大会常务委员会第九次会议通过　根据2019年8月29日深圳市第六届人民代表大会常务委员会第三十五次会议《关于修改〈深圳经济特区人才工作条例〉等二十九项法规的决定》修正）。
　　本决定自公布之日起生效。


        "
"浙江省第十三届人民代表大会常务委员会公告
（第85号）","

            浙江省第十三届人民代表大会常务委员会公告
（第85号）
　　《浙江省人民代表大会常务委员会关于废止〈浙江省信访条例〉的决定》已于2022年9月29日经浙江省第十三届人民代表大会常务委员会第三十八次会议通过，现予公布，自公布之日起施行。
浙江省人民代表大会常务委员会
　　2022年9月29日

浙江省人民代表大会常务委员会关于废止《浙江省信访条例》决定
（2022年9月29日浙江省第十三届人民代表大会常务委员会第三十八次会议通过）

　　浙江省第十三届人民代表大会常务委员会第三十八次会议决定：
　　废止《浙江省信访条例》（1996年12月30日浙江省第八届人民代表大会常务委员会第三十三次会议通过2004年1月16日浙江省第十届人民代表大会常务委员会第七次会议第一次修订根据2009年12月30日浙江省第十一届人民代表大会常务委员会第十五次会议《关于修改〈浙江省信访条例〉的决定》修正2016年7月29日浙江省第十二届人民代表大会常务委员会第三十一次会议第二次修订）。
　　本决定自公布之日起施行。


        "
"安徽省人民代表大会常务委员会公告
（第七十九号）","

            安徽省人民代表大会常务委员会公告
（第七十九号）
　　《安徽省人民代表大会常务委员会关于废止〈安徽省信访条例〉的决定》已经2022年9月29日安徽省第十三届人民代表大会常务委员会第三十六次会议通过，现予公布，自公布之日起施行。
安徽省人民代表大会常务委员会
　　2022年9月29日

安徽省人民代表大会常务委员会关于废止《安徽省信访条例》的决定
（2022年9月29日安徽省第十三届人民代表大会常务委员会第三十六次会议通过）

　　根据《国务院关于修改和废止部分行政法规的决定》（国务院令第752号），安徽省第十三届人民代表大会常务委员会第三十六次会议决定：废止《安徽省信访条例》（1995年11月18日安徽省第八届人民代表大会常务委员会第二十次会议通过，2005年12月16日安徽省第十届人民代表大会常务委员会第二十次会议第一次修订，2019年9月27日安徽省第十三届人民代表大会常务委员会第十二次会议第二次修订）。
　　本决定自公布之日起施行。


        "
"河北省第十三届人民代表大会常务委员会公告
（第132号）","

            河北省第十三届人民代表大会常务委员会公告
（第132号）
　　《河北省人民代表大会常务委员会关于废止〈河北省信访条例〉的决定》已由河北省第十三届人民代表大会常务委员会第三十三次会议于2022年9月28日通过，现予公布。
2022年9月28日

河北省人民代表大会常务委员会关于废止《河北省信访条例》的决定
（2022年9月28日河北省第十三届人民代表大会常务委员会第三十三次会议通过）

　　2022年2月25日，中共中央、国务院发布了《信访工作条例》（已于2022年5月1日起施行），经河北省第十三届人民代表大会常务委员会第三十三次会议审议并决定，废止《河北省信访条例》（1995年7月8日河北省第八届人民代表大会常务委员会第十五次会议通过　2015年9月25日河北省第十二届人民代表大会常务委员会第十七次会议修订）。
　　本决定自公布之日起施行。


        "
"吉林省第十三届人民代表大会常务委员会公告
（第88号）","

            吉林省第十三届人民代表大会常务委员会公告
（第88号）
　　《吉林省人民代表大会常务委员会关于废止＜吉林省信访条例＞的决定》经吉林省第十三届人民代表大会常务委员会第三十六次会议于2022年9月28日通过，现予公布，自公布之日起施行。
吉林省人民代表大会常务委员会
　　2022年9月28日

吉林省人民代表大会常务委员会关于废止《吉林省信访条例》的决定
（2022年9月28日吉林省第十三届人民代表大会常务委员会第三十六次会议通过）

　　吉林省第十三届人民代表大会常务委员会第三十六次会议决定废止《吉林省信访条例》。
　　本决定自公布之日起施行。


        "
"新疆维吾尔自治区第十三届人民代表大会常务委员会公告
（第74号）
","

            新疆维吾尔自治区第十三届人民代表大会常务委员会公告
（第74号）
　　《新疆维吾尔自治区信访条例》已由新疆维吾尔自治区第十三届人民代表大会常务委员会第三十四次会议于2022年7月29日修订通过，现予公布，自公布之日起施行。
　　特此公告。

新疆维吾尔自治区人民代表大会常务委员会

　　2022年8月9日

新疆维吾尔自治区信访条例

　　（2020年9月19日新疆维吾尔自治区第十三届人民代表大会常务委员会第十八次会议通过 2022年7月29日新疆维吾尔自治区第十三届人民代表大会常务委员会第三十四次会议修订）

　　　　第一条　为了坚持和加强党对信访工作的全面领导，保持党和政府同人民群众的密切联系，维护群众合法权益，化解信访突出问题，促进社会和谐稳定，根据中共中央、国务院《信访工作条例》和相关法律法规，结合自治区实际，制定本条例。　　第二条　本条例适用于自治区行政区域内的各级机关、群团组织、国有企事业单位等开展信访工作。　　第三条　各级机关、单位应当按照中共中央、国务院《信访工作条例》的规定，落实属地责任和部门责任，在各自职权范围内依法履行信访工作职责。　　第四条　各级机关、单位应当设立或者明确负责信访工作的机构（以下统称信访工作机构）、人员及其职责，为信访工作机构、人员提供工作条件和工作经费，建立健全信访工作人员培训、交流、激励、保障机制。　　各级机关、单位应当设立信访接待场所或者联合接访场所，村民委员会、居民委员会应当设立信访调解室。　　各级人民政府应当健全集投诉、办理、查询、跟踪、监督、评价于一体智能高效的信访信息平台，依法有序推进各级、各单位信访信息系统互联互通、信息共享，并引导群众通过信息网络反映诉求。　　第五条　各级机关、单位应当利用多种群众工作载体，完善社会矛盾纠纷多元排查调处化解机制，推动人民调解、行政调解、司法调解等协调联动，综合运用法律、政策、经济、行政等手段和教育、协商、疏导、听证评议等方式，整合力量，多措并举化解矛盾纠纷，从源头上预防和减少信访事项的发生。　　乡（镇）人民政府、街道办事处，村民委员会、居民委员会应当设立信访信息员制度，健全基层信访工作网格体系，保障矛盾隐患及时发现、就地化解。　　第六条　各级机关、单位应当建立健全人大代表参与信访工作制度，畅通与人民群众联系的渠道，对通过人大代表接访收集到的群众意见和诉求，建立台账，分类分级，按照职权范围转交有权处理的部门办理。　　第七条　信访人依法进行的信访活动受法律保护。任何组织和个人不得干预、阻挠信访人依法进行的信访活动，不得非法限制信访人的人身自由，不得歧视、压制、打击报复信访人。　　第八条　信访人享有下列权利：　　（一）要求提供与信访事项有关的咨询服务；　　（二）对与信访事项有直接利害关系的信访工作人员提出回避请求；　　（三）查询其信访事项的受理、办理情况；　　（四）委托代理人进行信访；　　（五）要求对个人隐私、商业秘密予以保密；　　（六）申请复查、复核；　　（七）对重大、复杂、疑难的信访事项申请听证；　　（八）依法申请法律援助；　　（九）法律法规规定的其他权利。　　第九条　信访人可以依法委托一至两人作为代理人，代为提出信访事项并参与信访活动。信访代理人代理信访事项的，应当符合法律有关规定，提交授权委托书及本人有效身份证件，并在授权范围内行使代理权。　　村民委员会、居民委员会可以设立网上信访代办点，方便群众通过网上信访平台反映诉求，查询信访事项办理情况。　　第十条　信访人及其代理人应当履行下列义务：　　（一）维护祖国统一、民族团结、宗教和谐、社会稳定；　　（二）遵守社会公共秩序和信访秩序，不得损害国家、社会、集体的利益和他人的合法权益；　　（三）提出信访事项应当对其所提供材料内容的真实性负责，不得歪曲捏造事实、诬告陷害他人；　　（四）配合各级机关、单位对信访事项进行调查、核实和处理；　　（五）法律法规规定的其他义务。　　第十一条　各级机关、单位工作人员在办理信访事项时，应当遵守下列规定：　　（一）按照信访事项办理程序，公正及时处理信访事项；　　（二）遵守保密制度，不得将检举、控告材料转给被检举、控告的人员或者单位，也不得向被检举、控告的人员、单位或者无关人员透露有关情况；　　（三）不得拒绝信访人查询其信访事项的办理情况，但涉及国家秘密、商业秘密和个人隐私的除外；　　（四）不得遗失、丢弃、隐匿、毁损或者篡改信访材料；　　（五）依法应当遵守的其他规定。　　第十二条　信访事项实行首办责任制，涉及两个或者两个以上机关、单位职责的信访事项，由最先收到该信访事项的机关、单位会同所涉及的其他机关、单位协商受理；经协商仍有争议的，由其共同的上一级机关、单位确定受理机关，没有共同的上一级机关、单位的，由共同的信访工作联席会议协调处理。　　信访事项的事发地与信访人户籍地或者常住地不一致的，信访事项的事发地或者有权处理的机关、单位承担解决和化解的主体责任；信访人的户籍地、常住地及其他相关机关、单位承担信访人的困难帮扶、教育疏导等协办责任。　　第十三条　各级机关、单位向信访人出具的告知书和处理、复查、复核意见书等，应当按期送达信访人、填写送达回证并录入信访信息系统。　　送达可以采取直接送达、留置送达、电子送达、委托送达、邮寄送达、公告送达等方式。　　第十四条　有关机关、单位在受理、办理信访事项过程中，未依法落实属地责任、部门责任和首办责任的，由其主管机关责令改正；造成严重后果的，对直接负责的主管人员和其他直接责任人员依法依规给予处分。　　第十五条　有关机关、单位违反法律法规或者其他规定作出决策，侵害公民、法人或者其他组织合法权益，导致信访事项发生，造成严重后果的，对直接负责的主管人员和其他直接责任人员依法依规给予处分；构成犯罪的，依法追究刑事责任。　　第十六条　信访人或者信访代理人违反本条例第十条规定或者信访事项依法办理完结仍缠访闹访的，有关机关、单位工作人员应当对其进行劝阻、批评、教育；构成违反治安管理行为的，依法给予治安管理处罚；构成犯罪的，依法追究刑事责任。　　第十七条　有关机关、单位违反本条例第十一条规定的，由其主管机关责令改正；造成严重后果的，对直接负责的主管人员和其他直接责任人员依法依规给予处分；构成犯罪的，依法追究刑事责任。　　第十八条　对外国人、无国籍人、外国组织信访事项的处理，参照本条例执行。　　第十九条　本条例自公布之日起施行。



        "
